                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                   15950                                     1787                  1.6450000000000000E+000                  2.0000000000000000E-002                  2.0893422063231852E+009                  2.4039095723510374E+002                  3.4426450491919190E+003                  2.2285306558485295E+003                  1.3288735211020153E+002                  1.9574559825719771E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8042526158185805E-001                  1.0322822581080623E-004                  1.1874456387673139E-002                  1.4069248913177622E-003                  2.0998046298254720E-003                  1.6450000000000000E+000                  0.0000000000000000E+000                  8.1884789413329884E-001                  5.3170700961433458E-004                  7.9273115828057017E-001                  2.9320786508860949E-003                  8.2458851380610501E-003                  1.1528638585890996E-002                  3.4540547552985258E-003                  4.5448766418635966E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6446184740323988E+000                  1.3118408709600544E+002                  1.6445077716605137E+000                  1.3073908014430413E+002                  1.1958483044969952E+007                  2.1449100448253185E+002                  7.3815453051223746E+006                  2.2078559284036410E+003                  2.2069685439590612E+003                  8.6847669375855230E-001                  1.5098625745460635E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.5935774715048552E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.6450000000000000E+000                  2.1234836478340813E+000                  3.5368922475959450E+000                 -8.4077366758156273E+000                  2.9327023096538940E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  1.6449999999991776E+000                  2.1234836478158039E+000                  3.5368922480694653E+000                 -8.4077366724731668E+000                  2.9327023134412742E+000                  6.9999999991102313E-001                  2.8000000008897719E-001                  1.9999999999999685E-002 
                                       3                  1.6449999999968383E+000                  2.1234836477638321E+000                  3.5368922494193269E+000                 -8.4077366620807830E+000                  2.9327023242379338E+000                  6.9999999760869602E-001                  2.8000000238174511E-001                  2.0000000009558816E-002 
                                       4                  1.6449999999901652E+000                  2.1234836476155476E+000                  3.5368922533475304E+000                 -8.4077363386939297E+000                  2.9327023556570611E+000                  6.9999929660617022E-001                  2.8000069713977882E-001                  2.0000006254050962E-002 
                                       5                  1.6449999999706115E+000                  2.1234836471810667E+000                  3.5368922621447711E+000                 -8.4077347317980866E+000                  2.9327024260204797E+000                  6.9999563954449517E-001                  2.8000430792954334E-001                  2.0000052525961487E-002 
                                       6                  1.6449999999314298E+000                  2.1234836463104392E+000                  3.5368922738818962E+000                 -8.4077325878910543E+000                  2.9327025198982790E+000                  6.9999076034774443E-001                  2.8000912539100592E-001                  2.0000114261249591E-002 
                                       7                  1.6449999998922480E+000                  2.1234836454398169E+000                  3.5368922887140974E+000                 -8.4077275779470764E+000                  2.9327026385322790E+000                  6.9997909130902625E-001                  2.8002088407858317E-001                  2.0000024612390588E-002 
                                       8                  1.6449999998324010E+000                  2.1234836441100322E+000                  3.5368923066414433E+000                 -8.4077218199310000E+000                  2.9327027819224600E+000                  6.9996594124190703E-001                  2.8003315341378104E-001                  2.0000905344311981E-002 
                                       9                  1.6449999997725542E+000                  2.1234836427802648E+000                  3.5368923306076008E+000                 -8.4077021898512427E+000                  2.9327029736148460E+000                  6.9991973272810115E-001                  2.8007940679307730E-001                  2.0000860478821547E-002 
                                      10                  1.6449999996723872E+000                  2.1234836405547113E+000                  3.5368923606097185E+000                 -8.4076819504536147E+000                  2.9327032136093782E+000                  6.9987163716126699E-001                  2.8013011315732850E-001                  1.9998249681404512E-002 
                                      11                  1.6449999995722204E+000                  2.1234836383292595E+000                  3.5368924024325175E+000                 -8.4076168301779504E+000                  2.9327035481849797E+000                  6.9971848550658622E-001                  2.8028008103003571E-001                  2.0001433463378016E-002 
                                      12                  1.6449999993931024E+000                  2.1234836343503161E+000                  3.5368924560745412E+000                 -8.4075156902291877E+000                  2.9327039773414425E+000                  6.9947985131204748E-001                  2.8051694186502768E-001                  2.0003206822924779E-002 
                                      13                  1.6449999992139841E+000                  2.1234836303722990E+000                  3.5368925319089404E+000                 -8.4073653907531085E+000                  2.9327045841399606E+000                  6.9912503774403689E-001                  2.8087013533974059E-001                  2.0004826916222518E-002 
                                      14                  1.6449999988865798E+000                  2.1234836231035161E+000                  3.5368926299170806E+000                 -8.4070758888492332E+000                  2.9327053685798203E+000                  6.9844328683201340E-001                  2.8154061469792585E-001                  2.0016098470060806E-002 
                                      15                  1.6449999985591757E+000                  2.1234836158395782E+000                  3.5368927697619403E+000                 -8.4064912288922891E+000                  2.9327064880643734E+000                  6.9707025302102532E-001                  2.8287883880755255E-001                  2.0050908171422188E-002 
                                      16                  1.6449999979520915E+000                  2.1234836023886654E+000                  3.5368929513885257E+000                 -8.4059175159639370E+000                  2.9327079425911440E+000                  6.9572179462168982E-001                  2.8420954615989474E-001                  2.0068659218415386E-002 
                                      17                  1.6449999973450076E+000                  2.1234835889555113E+000                  3.5368932115770706E+000                 -8.4051023852525688E+000                  2.9327100282154372E+000                  6.9380080946587930E-001                  2.8614100508073281E-001                  2.0058185453387889E-002 
                                      18                  1.6449999962111073E+000                  2.1234835639123526E+000                  3.5368935499758187E+000                 -8.4043934715313391E+000                  2.9327127449286015E+000                  6.9214364798545913E-001                  2.8777511904280573E-001                  2.0081232971735141E-002 
                                      19                  1.6449999950772074E+000                  2.1234835389100386E+000                  3.5368940350578484E+000                 -8.4034581689931507E+000                  2.9327166382206484E+000                  6.8998653860295212E-001                  2.8980763838802248E-001                  2.0205823009025403E-002 
                                      20                  1.6449999929611239E+000                  2.1234834923510988E+000                  3.5368946669756829E+000                 -8.4033247496220564E+000                  2.9327217080614791E+000                  6.8967282906652438E-001                  2.9016639732868865E-001                  2.0160773604786963E-002 
                                      21                  1.6449999908450401E+000                  2.1234834458064462E+000                  3.5368955659573995E+000                 -8.4030534108188899E+000                  2.9327289278867719E+000                  6.8904867525555280E-001                  2.9080287964142087E-001                  2.0148445103026269E-002 
