                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      8.6549999999999994E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      455                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  5.8205377811516694E-004                  9.9995553574863649E-001                  2.3999481450552078E-004                  3.8728773955369166E-005                  7.8146409727546925E-008                  9.9995553574863649E-001                  2.3999481450552078E-004                  3.8728773955369166E-005                  7.8146409727546925E-008                 -2.1665199379288776E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1665199379288776E+001                 -2.1665199379288776E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5771861966550289E+000                  3.9224893016269631E+000                  2.3301310939560507E+000                  7.1489423771243654E-001                 -5.1536224408948195E-001                  5.4783222578530424E+000                 -5.0566723384679308E+000                  8.5722192844971659E+000                 -5.0566723384679308E+000                  5.4783222578530424E+000                  6.2094742292841876E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120389E-003                  9.3604466091399760E-003                  6.0585000000000013E+000                  2.4231421014669019E+000                                        0                                        0                                        3 
                                       5                                      455                  7.4416000000000000E-005                 -4.6832750158095005E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  5.8177476341763593E-004                  9.9995553574863649E-001                  2.4002357273638486E-004                  3.8728773955369166E-005                  7.8146409727546925E-008                  9.9995553574863649E-001                  2.4002357273638486E-004                  3.8728773955369166E-005                  7.8146409727546925E-008                 -2.1665195354822352E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1665195354822352E+001                 -2.1665195354822352E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5765696999173202E+000                  3.9199875823366246E+000                  2.3301132277862986E+000                  7.1492997005194081E-001                 -4.6207480940728057E-001                  5.4783216624895621E+000                 -5.0566708432359340E+000                  8.5722200017964401E+000                 -5.0566708432359340E+000                  5.4783216624895621E+000                  6.2094742428009320E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120389E-003                  9.3604466091399760E-003                  6.0585000000000013E+000                  2.4231421014669019E+000                                        0                                        0                                        3 
                                      10                                      453                  2.5958682111999992E-004                 -4.2873687855713767E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  5.8083513048075243E-004                  9.9995848834643064E-001                  2.4012049034143689E-004                  3.8728773955369166E-005                  7.8146409727546925E-008                  9.9995848834643064E-001                  2.4012049034143689E-004                  3.8728773955369166E-005                  7.8146409727546925E-008                 -2.1665184724255049E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1665184724255049E+001                 -2.1665184724255049E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5751007331400659E+000                  3.9140292615718759E+000                  2.3300720009584328E+000                  7.1501242370767193E-001                 -3.4213047165249977E-001                  5.4783205790020135E+000                 -5.0566674833754552E+000                  8.5722219104617121E+000                 -5.0566674833754552E+000                  5.4783205790020135E+000                  6.2094742674938808E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120389E-003                  9.3604466091399777E-003                  6.0584999999999978E+000                  2.4231421014669010E+000                                        0                                        0                                        3 
                                      15                                      452                  7.2035107872931792E-004                 -3.8914625553332525E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  5.7751369716018265E-004                  9.9996043660704015E-001                  2.4046396491496377E-004                  3.8728773955369166E-005                  7.8146409727546925E-008                  9.9996043660704015E-001                  2.4046396491496377E-004                  3.8728773955369166E-005                  7.8146409727546925E-008                 -2.1665162708534456E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1665162708534456E+001                 -2.1665162708534456E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5727923406584954E+000                  3.9046820552308175E+000                  2.3300151827510431E+000                  7.1512606012245095E-001                 -1.4896714917752873E-001                  5.4783197749193659E+000                 -5.0566622248078072E+000                  8.5722259385659996E+000                 -5.0566622248078072E+000                  5.4783197749193659E+000                  6.2094742862240837E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120384E-003                  9.3604466091399760E-003                  6.0585000000000013E+000                  2.4231421014669019E+000                                        0                                        0                                        3 
                                      20                                      451                  1.8668799962237360E-003                 -3.4955563250951283E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  5.6176204331412458E-004                  9.9996899657854066E-001                  2.4210785852584872E-004                  3.8728773955591211E-005                  7.8146409949591530E-008                  9.9996899657854066E-001                  2.4210785852584872E-004                  3.8728773955591211E-005                  7.8146409949591530E-008                 -2.1665120410932964E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1665120410932964E+001                 -2.1665120410932964E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5705686357514521E+000                  3.8957532627447260E+000                  2.3299981963220859E+000                  7.1516003298036601E-001                  2.6685842653973318E-002                  5.4783208055147679E+000                 -5.0566550638422036E+000                  8.5722339049473586E+000                 -5.0566550638422036E+000                  5.4783208055147679E+000                  6.2094742642485901E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120384E-003                  9.3604466091399777E-003                  6.0585000000000004E+000                  2.4231421014669019E+000                                        0                                        0                                        3 
                                      25                                      451                  4.7198108322034464E-003                 -3.0996500948570045E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  4.6153021752877552E-004                  9.9997085274399400E-001                  2.5311675678257612E-004                  3.8728773955591211E-005                  7.8146409949591530E-008                  9.9997085274399400E-001                  2.5311675678257612E-004                  3.8728773955591211E-005                  7.8146409949591530E-008                 -2.1665035030189106E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1665035030189106E+001                 -2.1665035030189106E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5700782641159856E+000                  3.8940764454343464E+000                  2.3301405309378285E+000                  7.1487536374888083E-001                  1.0594352639670143E-001                  5.4783256808746694E+000                 -5.0566437381173275E+000                  8.5722502925935977E+000                 -5.0566437381173275E+000                  5.4783256808746694E+000                  6.2094741569962775E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120376E-003                  9.3604466091399760E-003                  6.0585000000000013E+000                  2.4231421014669019E+000                                        0                                        0                                        3 
                                      30                                      451                  1.1818815689988476E-002                 -2.7037438646188803E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  3.3414820389692169E-004                  9.9996712402135679E-001                  3.3274085175224826E-004                  2.4365757273813855E-005                  7.8146409949591530E-008                  9.9996712402135679E-001                  3.3274085175224826E-004                  2.4365757273813855E-005                  7.8146409949591530E-008                 -2.1664841602826684E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1664841602826684E+001                 -2.1664841602826684E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5720026340565467E+000                  3.9026433682130319E+000                  2.3305752524460490E+000                  7.1400592073243940E-001                  1.0225150613392409E-001                  5.4783383140521993E+000                 -5.0566200913351356E+000                  8.5722873724509316E+000                 -5.0566200913351356E+000                  5.4783383140521993E+000                  6.2094738782697223E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120376E-003                  9.3604466091399777E-003                  6.0585000000000013E+000                  2.4231421014669019E+000                                        0                                        0                                        3 
                                      35                                      451                  2.9483411457712123E-002                 -2.3078376343807565E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  2.5779660982785008E-004                  9.9995848834643064E-001                  8.5424423218080354E-004                  2.4365757273888014E-005                  7.8146410023750958E-008                  9.9995848834643064E-001                  8.5424423218080354E-004                  2.4365757273888014E-005                  7.8146410023750958E-008                 -2.1664390051272520E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1664390051272520E+001                 -2.1664390051272520E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5753339566244362E+000                  3.9175759984873681E+000                  2.3313789224474388E+000                  7.1239858072966022E-001                  6.7305356836956001E-002                  5.4783683653769879E+000                 -5.0565652629782338E+000                  8.5723742339148536E+000                 -5.0565652629782338E+000                  5.4783683653769879E+000                  6.2094732151680376E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120376E-003                  9.3604466091399760E-003                  6.0585000000000013E+000                  2.4231421014669019E+000                                        0                                        0                                        3 
                                      40                                      451                  7.3438578398454205E-002                 -1.9119314041426323E+000                  8.6549999999999994E+000                  3.4235945522771594E+001                 -9.8999999999999986E+001                  1.4805090996318450E-004                  9.9995553574863649E-001                  2.4236467214206123E-004                  1.0002740592100239E-005                  7.8146410013332453E-008                  9.9995553574863649E-001                  2.4236467214206123E-004                  1.0002740592100239E-005                  7.8146410013332453E-008                 -2.1663354095507426E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1663354095507426E+001                 -2.1663354095507426E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5782955379104378E+000                  3.9316066379336729E+000                  2.3324710795985877E+000                  7.1021426642736218E-001                  3.2506048818795791E-002                  5.4784391625552065E+000                 -5.0564362315742066E+000                  8.5725787394783257E+000                 -5.0564362315742066E+000                  5.4784391625552065E+000                  6.2094716536891348E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120376E-003                  9.3604466091399777E-003                  6.0585000000000013E+000                  2.4231421014669019E+000                                        0                                        0                                        3 
