                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1400                                     1578                  8.6549999999999994E+000                  2.0000000000000000E-002                  2.7032324772928137E+007                  7.9338581387129652E+003                  4.0205740168829889E+003                  6.9285856770649434E+003                  1.7179282007818276E+002                 -2.2137852628321939E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8295038004187234E-001                  1.8603472032021759E-001                  3.1864141060261852E-005                  6.9746804014507542E-003                  1.9918043399607521E-002                  8.6549999999999994E+000                  0.0000000000000000E+000                  4.7409358714666796E+000                  1.9509561609605623E-004                  3.6436658372855719E+000                  1.0644344165720770E-001                  3.7884684094807768E-002                  6.3536016181167179E-002                  2.6937306646108605E-002                  1.5822972630780234E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6547270671347878E+000                  1.7107865309656216E+002                  8.6546714078957709E+000                  1.7095582418319944E+002                  7.6631539207551405E+006                  1.4772843014350237E+003                  1.2491726888288105E+007                  6.9105744496919897E+003                  5.5453296926611920E+003                  1.2861171986860086E+003                  3.7781118120159175E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  8.5309015960026488E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                    gradr 
                                       1                  8.6549999999999994E+000                  2.2350050089388440E+000                  3.6042880640499328E+000                 -8.4625444149862759E+000                  2.9464415525679910E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  3.9252917872660931E-001                  1.2504661328867223E-001 
                                       2                  8.6549999999913449E+000                  2.2350050088378581E+000                  3.6042880749371622E+000                 -8.4625443387902735E+000                  2.9464416396333482E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  9.9999999999900002E-001                  3.9252918009931248E-001                  1.2504662215938409E-001 
                                       3                  8.6549999999601788E+000                  2.2350050084742077E+000                  3.6042881043857373E+000                 -8.4625441326898798E+000                  2.9464418751339756E+000                  7.0000000000000051E-001                  2.7999999999999953E-001                  2.0000000000000018E-002                  9.9999999999539901E-001                  3.9252918381230162E-001                  1.2504668604616037E-001 
                                       4                  8.6549999998836320E+000                  2.2350050075810768E+000                  3.6042881462409762E+000                 -8.4625438397599382E+000                  2.9464422098504452E+000                  7.0000000000000051E-001                  2.7999999999999953E-001                  2.0000000000000018E-002                  9.9999999998655487E-001                  3.9252918908957291E-001                  1.2504684295293886E-001 
                                       5                  8.6549999998070870E+000                  2.2350050066879463E+000                  3.6042882191110146E+000                 -8.4625433297693000E+000                  2.9464427925915007E+000                  7.0000000000000073E-001                  2.7999999999999947E-001                  1.9999999999999796E-002                  9.9999999997771072E-001                  3.9252919827731497E-001                  1.2504699985972256E-001 
                                       6                  8.6549999996170985E+000                  2.2350050044711982E+000                  3.6042883962037719E+000                 -8.4625420903670339E+000                  2.9464442087958194E+000                  7.0000000000000073E-001                  2.7999999999999947E-001                  1.9999999999999796E-002                  9.9999999995575950E-001                  3.9252922060589479E-001                  1.2504738930263862E-001 
                                       7                  8.6549999991593420E+000                  2.2350049991301755E+000                  3.6042887475390835E+000                 -8.4625396315317047E+000                  2.9464470183897729E+000                  7.0000000000000062E-001                  2.7999999999999958E-001                  1.9999999999999796E-002                  9.9999999990287025E-001                  3.9252926490381307E-001                  1.2504832762729587E-001 
                                       8                  8.6549999983320376E+000                  2.2350049894774058E+000                  3.6042893892046850E+000                 -8.4625351408806768E+000                  2.9464521496532896E+000                  7.0000000000000040E-001                  2.7999999999999975E-001                  1.9999999999999796E-002                  9.9999999980728349E-001                  3.9252934580827448E-001                  1.2505002346120705E-001 
                                       9                  8.6549999968123679E+000                  2.2350049717464571E+000                  3.6042905689827585E+000                 -8.4625268845353983E+000                  2.9464615838408124E+000                  7.0000000000000040E-001                  2.7999999999999980E-001                  1.9999999999999796E-002                  9.9999999963170061E-001                  3.9252949456207387E-001                  1.2505313853288805E-001 
