                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.6450000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      537                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0507056020376569E-004                  9.0833357337826504E-001                  2.4092773360204919E-004                  9.9999613901534623E-001                  9.5097723820742230E-001                  9.0833357337826504E-001                  2.4092773360204919E-004                  9.9999613901534623E-001                  9.5097723820742230E-001                 -1.0632104979903652E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0632104979903652E+001                 -1.0632104979903652E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6465477234856269E+000                  2.8916295401499847E+000                  1.6759781595563645E+000                  1.3020989365863893E+000                 -2.9877485337774412E-001                  5.4778170162300066E+000                 -3.7171449253882414E+000                  9.8861684944508212E+000                 -3.7171449253882414E+000                  5.4778170162300066E+000                  6.2111096926488163E-001                  8.5000496539657688E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120016E-003                  9.3604466091399812E-003                  1.1514999999999997E+000                  4.6055098289001178E-001                                        0                                        0                                        6 
                                       5                                      538                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0596595633635550E-004                  9.0833357337826504E-001                  2.4093075476880514E-004                  9.9999613901534623E-001                  9.5097723824774494E-001                  9.0833357337826504E-001                  2.4093075476880514E-004                  9.9999613901534623E-001                  9.5097723824774494E-001                 -1.0632105356004212E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0632105356004212E+001                 -1.0632105356004212E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6447168302013404E+000                  2.8841347945786913E+000                  1.6758925733392906E+000                  1.3022701090205366E+000                 -4.6030990095590368E-001                  5.4778169949607012E+000                 -3.7171448410199264E+000                  9.8861685567876041E+000                 -3.7171448410199264E+000                  5.4778169949607012E+000                  6.2111096935390209E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120016E-003                  9.3604466091399812E-003                  1.1514999999999995E+000                  4.6055098289001178E-001                                        0                                        0                                        6 
                                      10                                      540                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0626594469395855E-004                  9.0833357337826515E-001                  2.4094102767632672E-004                  9.9999584961721932E-001                  9.5097723832013359E-001                  9.0833357337826515E-001                  2.4094102767632672E-004                  9.9999584961721932E-001                  9.5097723832013359E-001                 -1.0632106275969466E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0632106275969466E+001                 -1.0632106275969466E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6401919987844962E+000                  2.8655868415559120E+000                  1.6756682596615906E+000                  1.3027187363759372E+000                 -4.0931211061050693E-001                  5.4778169699413315E+000                 -3.7171446438208440E+000                  9.8861687275780668E+000                 -3.7171446438208440E+000                  5.4778169699413315E+000                  6.2111096952342137E-001                  8.5000496539657688E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120016E-003                  9.3604466091399812E-003                  1.1514999999999995E+000                  4.6055098289001178E-001                                        0                                        0                                        6 
                                      15                                      541                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0629056279173623E-004                  9.0833357337826481E-001                  2.4097846091858293E-004                  9.9999567682417179E-001                  9.5097723841553194E-001                  9.0833357337826481E-001                  2.4097846091858293E-004                  9.9999567682417179E-001                  9.5097723841553194E-001                 -1.0632107876274789E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0632107876274789E+001                 -1.0632107876274789E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6317689627502086E+000                  2.8309808164302179E+000                  1.6752113191673179E+000                  1.3036326173644823E+000                 -3.2086339727227969E-001                  5.4778170362758356E+000                 -3.7171443270724063E+000                  9.8861691101219691E+000                 -3.7171443270724063E+000                  5.4778170362758356E+000                  6.2111096962941148E-001                  8.5000496539657688E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  1.1514999999999997E+000                  4.6055098289001178E-001                                        0                                        0                                        6 
                                      20                                      543                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0626172205024973E-004                  9.0833357337826481E-001                  2.4116498171639785E-004                  9.9999519464278330E-001                  9.5097723828248715E-001                  9.0833357337826481E-001                  2.4116498171639785E-004                  9.9999519464278330E-001                  9.5097723828248715E-001                 -1.0632109880352933E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0632109880352933E+001                 -1.0632109880352933E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6195439856797367E+000                  2.7805177099107254E+000                  1.6744297200485159E+000                  1.3051958156020866E+000                 -2.0760256786516298E-001                  5.4778173252621984E+000                 -3.7171438387887479E+000                  9.8861698895277996E+000                 -3.7171438387887479E+000                  5.4778173252621984E+000                  6.2111096950128730E-001                  8.5000496539657688E-001                  1.2966362606226614E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120016E-003                  9.3604466091399812E-003                  3.4416106108120016E-003                  9.3604466091399829E-003                  1.1514999999999997E+000                  4.6055098289001178E-001                                        0                                        0                                        6 
                                      25                                      538                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0617349332325175E-004                  9.2352498821469597E-001                  2.4249577442227941E-004                  9.9999477289467154E-001                  9.5097723715421123E-001                  9.2352498821469597E-001                  2.4249577442227941E-004                  9.9999477289467154E-001                  9.5097723715421123E-001                 -1.0632110705265791E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0632110705265791E+001                 -1.0632110705265791E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6064838040860634E+000                  2.7261059203426998E+000                  1.6733441884518490E+000                  1.3073668787954202E+000                 -1.0918756873724539E-001                  5.4778178980729013E+000                 -3.7171429587629636E+000                  9.8861713470394079E+000                 -3.7171429587629636E+000                  5.4778178980729013E+000                  6.2111096918924202E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  1.1514999999999995E+000                  4.6055098289001173E-001                                        0                                        0                                        6 
                                      30                                      538                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0595692208263941E-004                  9.1967719593914066E-001                  2.5499820209525144E-004                  9.9999450159773084E-001                  9.4492321317335326E-001                  9.1967719593914066E-001                  2.5499820209525144E-004                  9.9999450159773084E-001                  9.4492321317335326E-001                 -1.0632105228643207E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0632105228643207E+001                 -1.0632105228643207E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5961289643109162E+000                  2.6822212857932874E+000                  1.6721115507274382E+000                  1.3098321542442419E+000                 -4.6556902056112591E-002                  5.4778189266270836E+000                 -3.7171412176288530E+000                  9.8861741243131185E+000                 -3.7171412176288530E+000                  5.4778189266270836E+000                  6.2111096873544358E-001                  8.5000496539657666E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120016E-003                  9.3604466091399812E-003                  3.4416106108120016E-003                  9.3604466091399812E-003                  1.1514999999999997E+000                  4.6055098289001173E-001                                        0                                        0                                        6 
                                      35                                      535                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0543268527536742E-004                  9.2352498821469520E-001                  1.7194874683492166E-003                  9.9999450159773073E-001                  9.3994278312739721E-001                  9.2352498821469520E-001                  1.7194874683492166E-003                  9.9999450159773073E-001                  9.3994278312739721E-001                 -1.0632077960227473E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0632077960227473E+001                 -1.0632077960227473E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5897622979081456E+000                  2.6544720840503615E+000                  1.6709702826615160E+000                  1.3121146903760861E+000                 -1.6062136875116123E-002                  5.4778210428739174E+000                 -3.7171373467025517E+000                  9.8861801256421451E+000                 -3.7171373467025517E+000                  5.4778210428739174E+000                  6.2111096799285970E-001                  8.5000496539657688E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120007E-003                  9.3604466091399812E-003                  3.4416106108120016E-003                  9.3604466091399829E-003                  1.1514999999999997E+000                  4.6055098289001178E-001                                        0                                        0                                        6 
                                      40                                      534                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0415557025013289E-004                  9.9999450159773062E-001                  1.7195190634185630E-003                  6.7728271179815039E-005                  7.8131528463180905E-008                  9.9999450159773062E-001                  1.7195190634185630E-003                  6.7728271179815039E-005                  7.8131528463180905E-008                 -1.0631969860593623E+001                 -9.8999999999999986E+001                 -2.6013518363710681E+001                 -1.0631969860593623E+001                 -1.0631969860593623E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5868200610210659E+000                  2.6409680604665309E+000                  1.6701027446437591E+000                  1.3138497664116002E+000                 -4.5373485960349003E-003                  5.4778271017343929E+000                 -3.7171269150624728E+000                  9.8861966599453108E+000                 -3.7171269150624728E+000                  5.4778271017343929E+000                  6.2111096543763977E-001                  8.5000496539657666E-001                  1.2966362606226611E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120003E-003                  9.3604466091399795E-003                  1.1514999999999995E+000                  4.6055098289001195E-001                                        0                                        0                                        6 
