                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.6450000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      537                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0507094409104212E-004                  9.0833357337823151E-001                  2.4092762330925219E-004                  9.9999613901534601E-001                  9.5097723816939794E-001                  9.0833357337823151E-001                  2.4092762330925219E-004                  9.9999613901534601E-001                  9.5097723816939794E-001                 -2.1092329617912714E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                 -2.1092329617912714E+001                 -2.1092329617912714E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6465094861528242E+000                  2.8914663039759967E+000                  1.6759730161349771E+000                  1.3021092234291642E+000                 -4.7980954613195981E-001                  5.4778258348588817E+000                 -3.7171314710142878E+000                  9.8861866929651949E+000                 -3.7171314710142878E+000                  5.4778258348588817E+000                  6.2111660705277605E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120376E-003                  9.3604466091399760E-003                  1.1515000000000009E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
                                       5                                      537                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0596610265223659E-004                  9.0833357337823151E-001                  2.4093061184340915E-004                  9.9999613901534601E-001                  9.5097723820397317E-001                  9.0833357337823151E-001                  2.4093061184340915E-004                  9.9999613901534601E-001                  9.5097723820397317E-001                 -2.1092329871953094E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092329871953094E+001                 -2.1092329871953094E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6446946806938203E+000                  2.8840360774304448E+000                  1.6758875137802078E+000                  1.3022802281387025E+000                 -4.6016494532062108E-001                  5.4778258135675033E+000                 -3.7171313864761180E+000                  9.8861867554485023E+000                 -3.7171313864761180E+000                  5.4778258135675033E+000                  6.2111660714197181E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120376E-003                  9.3604466091399760E-003                  1.1515000000000009E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
                                      10                                      539                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0626598208734037E-004                  9.0833357337823151E-001                  2.4094083711392194E-004                  9.9999584961721899E-001                  9.5097723828365521E-001                  9.0833357337823151E-001                  2.4094083711392194E-004                  9.9999584961721899E-001                  9.5097723828365521E-001                 -2.1092330478465900E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092330478465900E+001                 -2.1092330478465900E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6401710089747494E+000                  2.8654928184403792E+000                  1.6756632277233166E+000                  1.3027288002524853E+000                 -4.0928334767288321E-001                  5.4778257884717751E+000                 -3.7171311887047969E+000                  9.8861869267306677E+000                 -3.7171311887047969E+000                  5.4778257884717751E+000                  6.2111660731205165E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120376E-003                  9.3604466091399760E-003                  1.1515000000000006E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
                                      15                                      541                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0629059146173238E-004                  9.0833357337823151E-001                  2.4097812337580614E-004                  9.9999567682417156E-001                  9.5097723838060155E-001                  9.0833357337823151E-001                  2.4097812337580614E-004                  9.9999567682417156E-001                  9.5097723838060155E-001                 -2.1092331468062429E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092331468062429E+001                 -2.1092331468062429E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6317486254141342E+000                  2.8308894625420424E+000                  1.6752063168953797E+000                  1.3036426219083590E+000                 -3.2085087775617160E-001                  5.4778258550387759E+000                 -3.7171308710032602E+000                  9.8861873104590590E+000                 -3.7171308710032602E+000                  5.4778258550387759E+000                  6.2111660741839203E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120371E-003                  9.3604466091399760E-003                  1.1515000000000009E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
                                      20                                      540                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0626176050117967E-004                  9.1083547980631629E-001                  2.4116409336208863E-004                  9.9999519464278297E-001                  9.5097723824401215E-001                  9.1083547980631629E-001                  2.4116409336208863E-004                  9.9999519464278297E-001                  9.5097723824401215E-001                 -2.1092332488213003E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092332488213003E+001                 -2.1092332488213003E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6195245414686399E+000                  2.7804299895087183E+000                  1.6744247482697059E+000                  1.3052057591597064E+000                 -2.0760177928275561E-001                  5.4778261450719059E+000                 -3.7171303810218910E+000                  9.8861880926176742E+000                 -3.7171303810218910E+000                  5.4778261450719059E+000                  6.2111660728985274E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120371E-003                  9.3604466091399760E-003                  1.1515000000000009E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
                                      25                                      537                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0617356172978406E-004                  9.1967719593910724E-001                  2.4249223798849913E-004                  9.9999477289467131E-001                  9.5097723711156046E-001                  9.1967719593910724E-001                  2.4249223798849913E-004                  9.9999477289467131E-001                  9.5097723711156046E-001                 -2.1092332097382041E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092332097382041E+001                 -2.1092332097382041E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6064652855686830E+000                  2.7260218944124555E+000                  1.6733392125214874E+000                  1.3073768306561433E+000                 -1.0919265489670228E-001                  5.4778267203698512E+000                 -3.7171294971994291E+000                  9.8861895564340880E+000                 -3.7171294971994291E+000                  5.4778267203698512E+000                  6.2111660697660132E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120371E-003                  9.3604466091399760E-003                  1.1515000000000009E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
                                      30                                      536                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0595706384769313E-004                  9.1967719593910680E-001                  2.5497945833763088E-004                  9.9999450159773051E-001                  9.4492320458696266E-001                  9.1967719593910680E-001                  2.5497945833763088E-004                  9.9999450159773051E-001                  9.4492320458696266E-001                 -2.1092325764733179E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092325764733179E+001                 -2.1092325764733179E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5961116140067717E+000                  2.6821419059081957E+000                  1.6721065613931809E+000                  1.3098421329127563E+000                 -4.6556463252854889E-002                  5.4778277545531102E+000                 -3.7171277474713955E+000                  9.8861923479777847E+000                 -3.7171277474713955E+000                  5.4778277545531102E+000                  6.2111660652004530E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120371E-003                  9.3604466091399760E-003                  1.1515000000000006E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
                                      35                                      532                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0543300415827405E-004                  9.2352498821466111E-001                  1.7194871485046817E-003                  9.9999450159773051E-001                  9.3994278222924277E-001                  9.2352498821466111E-001                  1.7194871485046817E-003                  9.9999450159773051E-001                  9.3994278222924277E-001                 -2.1092299559109165E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092299559109165E+001                 -2.1092299559109165E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5897454337114980E+000                  2.6543947792676645E+000                  1.6709653586634627E+000                  1.3121245383721929E+000                 -1.6061126115829705E-002                  5.4778298826944161E+000                 -3.7171238571515439E+000                  9.8861983806877998E+000                 -3.7171238571515439E+000                  5.4778298826944161E+000                  6.2111660577251904E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120371E-003                  9.3604466091399760E-003                  1.1515000000000009E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
                                      40                                      532                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.6450000000000000E+000                  3.3514844352846175E+001                 -9.8999999999999986E+001                  2.0415631826848005E-004                  9.9999450159773051E-001                  1.7195175339167253E-003                  6.7728271195895574E-005                  7.8131543603410930E-008                  9.9999450159773051E-001                  1.7195175339167253E-003                  6.7728271195895574E-005                  7.8131543603410930E-008                 -2.1092199676391971E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092199676391971E+001                 -2.1092199676391971E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5868033654838141E+000                  2.6408916952376456E+000                  1.6700979531038209E+000                  1.3138593494914765E+000                 -4.5363543652613691E-003                  5.4778359671408863E+000                 -3.7171133845916069E+000                  9.8862149817020466E+000                 -3.7171133845916069E+000                  5.4778359671408863E+000                  6.2111660320652218E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120371E-003                  9.3604466091399760E-003                  1.1515000000000009E+000                  4.6055098289001217E-001                                        0                                        0                                        6 
