                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     225                                      586                  1.6450000000000000E+000                  2.0000000000000000E-002                  6.4677415778658815E+003                  1.0525658773161162E+002                  4.2842825070034069E+003                  1.0719467437442088E+002                  1.8818683573492411E+001                 -7.7594645773842439E+000                  6.9999999999826490E-001                  2.9797640457450179E-005                  2.7997020236474879E-001                  3.4416106108119968E-003                  1.0081585468365995E-003                  9.3604466091399760E-003                  2.0994599496976483E-003                  1.6450000000000000E+000                  0.0000000000000000E+000                  1.1514999999971534E+000                  4.9017118529607219E-005                  4.6055098289001167E-001                  5.6614494547857332E-003                  1.6584208095462068E-003                  1.5397934672035261E-002                  3.4536116172526315E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6449991181048829E+000                  1.8771814292564258E+001                  1.6449988104047120E+000                  1.8758878163004383E+001                  6.3728615003587271E+005                  3.1488276789468098E+004                  1.5345911628540146E+008                  2.4197585316052304E-004                  2.4197585316052304E-004                  0.0000000000000000E+000                  9.4006329890761247E-017                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.0410995877204431E+011 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                       h2                                    gradr 
                                       1                  1.6450000000000000E+000                  1.2745892398795318E+000                  3.6318781671008731E+000                 -7.8400842633640533E+000                  3.5961618357074729E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  1.0000000000000000E+000                  3.8889870643874336E-001                  1.0000000000000004E-005                  1.2501353542517424E-001 
                                       2                  1.6449999999991776E+000                  1.2745892381380646E+000                  3.6318783499074421E+000                 -7.8400829840961865E+000                  3.5961632979981801E+000                  7.0000999999999935E-001                  2.8000000000000075E-001                  1.9989999999999952E-002                  9.9999999999949996E-001                  3.8889873716513562E-001                  1.0000000000000016E-005                  1.2501378492828924E-001 
                                       3                  1.6449999999977380E+000                  1.2745892350905073E+000                  3.6318785825709958E+000                 -7.8400813559448288E+000                  3.5961651590883696E+000                  7.0000999999999924E-001                  2.8000000000000069E-001                  1.9990000000000063E-002                  9.9999999999862499E-001                  3.8889877627172253E-001                  1.0000000000000014E-005                  1.2501465818998511E-001 
                                       4                  1.6449999999962988E+000                  1.2745892320429608E+000                  3.6318789066389399E+000                 -7.8400790881766822E+000                  3.5961677513079207E+000                  7.0000999999999947E-001                  2.8000000000000047E-001                  1.9990000000000063E-002                  9.9999999999775002E-001                  3.8889883074198750E-001                  1.0000000000000001E-005                  1.2501553145330960E-001 
                                       5                  1.6449999999937286E+000                  1.2745892266009431E+000                  3.6318793221127295E+000                 -7.8400761808062267E+000                  3.5961710746438520E+000                  7.0000999999999958E-001                  2.8000000000000036E-001                  1.9990000000000063E-002                  9.9999999999618749E-001                  3.8889890057651866E-001                  9.9999999999999991E-006                  1.2501709085607324E-001 
                                       6                  1.6449999999911580E+000                  1.2745892211589609E+000                  3.6318799453263013E+000                 -7.8400718198010004E+000                  3.5961760596003169E+000                  7.0000999999999991E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999999462497E-001                  3.8889900532960731E-001                  1.0000000000000003E-005                  1.2501865026409059E-001 
                                       7                  1.6449999999860176E+000                  1.2745892102751075E+000                  3.6318813579568858E+000                 -7.8400619350802918E+000                  3.5961873586242659E+000                  7.0001000000000002E-001                  2.8000000000000003E-001                  1.9989999999999952E-002                  9.9999999999150002E-001                  3.8889924277579796E-001                  1.0000000000000003E-005                  1.2502176909704585E-001 
                                       8                  1.6449999999736800E+000                  1.2745891841544481E+000                  3.6318833523068519E+000                 -7.8400479807266024E+000                  3.5962033096908907E+000                  7.0001000000000002E-001                  2.8000000000000003E-001                  1.9989999999999952E-002                  9.9999999998400002E-001                  3.8889957801371511E-001                  1.0000000000000003E-005                  1.2502925437774373E-001 
                                       9                  1.6449999999613425E+000                  1.2745891580346251E+000                  3.6318860115002760E+000                 -7.8400293758906603E+000                  3.5962245768735417E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999997650002E-001                  3.8890002502403387E-001                  1.0000000000000004E-005                  1.2503673977619964E-001 
