                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1009                                      955                  1.6450000000000000E+000                  2.0000000000000000E-002                  1.6257463741094487E+009                  2.9566665239147055E+006                  7.0131885292722027E+003                  1.1883343617976488E+001                  2.3382833461189527E+000                 -2.0357458636854426E+000                  8.4543353545293344E-004                  0.0000000000000000E+000                  9.7960334511395197E-001                  1.1084523441071911E-004                  1.1850839912400756E-002                  1.4097642340976020E-003                  2.0994599496938176E-003                  1.6450000000000000E+000                  0.0000000000000000E+000                  1.0177971469029079E+000                  5.9183981790207987E-004                  5.9350690941974082E-001                  3.3211773576917818E-003                  5.5750397469382503E-003                  1.4042161539710517E-002                  3.4536116172523708E-003                  9.8869668747683617E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6449999998190477E+000                  2.3376255369742349E+000                  1.6449999996710059E+000                  2.3370591808193493E+000                  2.7912345046187958E+004                  2.2859964504278428E+006                  1.3842905270462193E+009                  1.1235225623659767E+001                  1.1235225623659769E+001                  1.3163297921609974E-030                  6.6069549045053100E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.1305547910090160E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                       h2                                    gradr 
                                       1                  1.6450000000000000E+000                  3.6889713650925676E-001                  3.8460461731160374E+000                 -7.7268372930781526E+000                  3.9261473171706416E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  1.0000000000000000E+000                  2.6151019180015056E-001                  9.9999999999990555E-006                  1.2519574147032891E-001 
                                       2                  1.6449999999991776E+000                  3.6889643707732084E-001                  3.8464063913510995E+000                 -7.7243512140970161E+000                  3.9290074702945503E+000                  7.0000999999999935E-001                  2.8000000000000075E-001                  1.9989999999999952E-002                  9.9999999999949996E-001                  2.6106608056926012E-001                  9.9999999999990504E-006                  1.2584525755693982E-001 
                                       3                  1.6449999999977380E+000                  3.6889522005007130E-001                  3.8468693733364874E+000                 -7.7212129980884248E+000                  3.9326206732908622E+000                  6.9999562374680135E-001                  2.8001437669790880E-001                  1.9989999555289906E-002                  9.9999999999862499E-001                  2.6049051227450992E-001                  4.1601969187315643E-007                  1.2813688745171978E-001 
                                       4                  1.6449999999962988E+000                  3.6889401177525205E-001                  3.8475204320656582E+000                 -7.7169068177968114E+000                  3.9376038291052247E+000                  6.9999559356284990E-001                  2.8001440688279383E-001                  1.9989999554356208E-002                  9.9999999999775002E-001                  2.5967212191356764E-001                  3.9589745335253698E-007                  1.3046946305336626E-001 
                                       5                  1.6449999999937286E+000                  3.6889187540494173E-001                  3.8483701270375117E+000                 -7.7114851307452739E+000                  3.9439100949280874E+000                  6.9999552600455772E-001                  2.8001447444317590E-001                  1.9989999552266324E-002                  9.9999999999618749E-001                  2.5858422759567873E-001                  3.5085947762347693E-007                  1.3474053139456893E-001 
                                       6                  1.6449999999911580E+000                  3.6888976550812680E-001                  3.8496669842825622E+000                 -7.7035463778784194E+000                  3.9532012308620272E+000                  6.9999541501054496E-001                  2.8001458544062197E-001                  1.9989999548833071E-002                  9.9999999999462497E-001                  2.5688618042174560E-001                  2.7686492450129530E-007                  1.3915684178249035E-001 
                                       7                  1.6449999999860176E+000                  3.6888562206063857E-001                  3.8513715539754600E+000                 -7.6938382692839280E+000                  3.9646920862788213E+000                  6.9999527935093653E-001                  2.8001472110442699E-001                  1.9989999544636428E-002                  9.9999999999150002E-001                  2.5456878557798779E-001                  1.8642696412422477E-007                  1.4843783228519983E-001 
                                       8                  1.6449999999813907E+000                  3.6888197529440170E-001                  3.8541519348107469E+000                 -7.6792114405840790E+000                  3.9822389254208961E+000                  6.9999516744699231E-001                  2.8001483301183283E-001                  1.9989999541174863E-002                  9.9999999998868749E-001                  2.5064011265377639E-001                  1.1182580185533897E-007                  1.5739694277265154E-001 
                                       9                  1.6449999999705955E+000                  3.6887374764658309E-001                  3.8583386679925087E+000                 -7.6604779716781479E+000                  4.0054012497170985E+000                  6.9999505337870127E-001                  2.8001494708365238E-001                  1.9989999537646352E-002                  9.9999999998212497E-001                  2.4435336433224442E-001                  3.5781770136778790E-008                  1.8084520312797570E-001 
                                      10                  1.6449999999600573E+000                  3.6886605455908572E-001                  3.8643117829966127E+000                 -7.6383254158677740E+000                  4.0339306131472323E+000                  6.9999502520243873E-001                  2.8001497526078645E-001                  1.9989999536774827E-002                  9.9999999997571876E-001                  2.3493501205418874E-001                  1.6997964557474955E-008                  2.0810923457204258E-001 
                                      11                  1.6449999999427076E+000                  3.6885401813096780E-001                  3.8713228340296442E+000                 -7.6193700396223853E+000                  4.0604643202432298E+000                  6.9999500968654293E-001                  2.8001499077716224E-001                  1.9989999536294878E-002                  9.9999999996517186E-001                  2.2339848102478746E-001                  6.6542374500686593E-009                  2.6582425545176364E-001 
                                      12                  1.6449999999324263E+000                  3.6884718960812685E-001                  3.8773239168691132E+000                 -7.6066212599827416E+000                  4.0797829487537332E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999995892186E-001                  2.1344663250672841E-001                  5.9268461876890293E-011                  3.1053902347233386E-001 
                                      13                  1.6449999999215026E+000                  3.6884014384989361E-001                  3.8847236456232439E+000                 -7.5949821780465276E+000                  4.0996495792852761E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999995228128E-001                  2.0118392018829062E-001                  5.9268461861219563E-011                  3.7230026980492842E-001 
                                      14                  1.6449999999096152E+000                  3.6883267879117410E-001                  3.8940070060987031E+000                 -7.5854944328228360E+000                  4.1196943299483619E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999994505473E-001                  1.8610465215700803E-001                  5.9268461856198163E-011                  4.6312051981950753E-001 
                                      15                  1.6449999998974061E+000                  3.6882517726195235E-001                  3.9041569631125816E+000                 -7.5803677788910120E+000                  4.1367262385030106E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999993763289E-001                  1.7037682360965306E-001                  5.9268461854575713E-011                  5.9667488281125480E-001 
                                      16                  1.6449999998882494E+000                  3.6881961688790588E-001                  3.9146292035574377E+000                 -7.5790498214886748E+000                  4.1508122659948654E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999993206645E-001                  1.5538812861028420E-001                  5.9268461853679114E-011                  7.4366859809287222E-001 
                                      17                  1.6449999998790925E+000                  3.6881407314978731E-001                  3.9274571784511205E+000                 -7.5822228426157139E+000                  4.1641027999219489E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999992650002E-001                  1.3906578257789842E-001                  5.9268461853068577E-011                  9.6874248427765830E-001 
                                      18                  1.6449999998704177E+000                  3.6880878247723275E-001                  3.9430952114253355E+000                 -7.5912893976260944E+000                  4.1766557132744513E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999992122657E-001                  1.2248772228928463E-001                  5.9268461852458221E-011                  1.3106119676768804E+000 
                                      19                  1.6449999998617431E+000                  3.6880337999337254E-001                  3.9566896904134561E+000                 -7.6014779875933121E+000                  4.1869586546842115E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999991595312E-001                  1.1112070863559359E-001                  5.9268461851567709E-011                  1.7945551097224981E+000 
                                      20                  1.6449999998557989E+000                  3.6879959030219450E-001                  3.9665377726758289E+000                 -7.6092930214640893E+000                  4.1951606380699085E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999991233979E-001                  1.0448921624830985E-001                  5.9268461850677378E-011                  2.1893925468314315E+000 
                                      21                  1.6449999998498550E+000                  3.6879573169715935E-001                  3.9750609650577671E+000                 -7.6159730698454959E+000                  4.2032108034940059E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999990872646E-001                  9.9764452321688873E-002                  5.9268461849787229E-011                  2.6097623230946780E+000 
                                      22                  1.6449999998439111E+000                  3.6879181317740034E-001                  3.9824670374671154E+000                 -7.6215651481014959E+000                  4.2111149002959118E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999990511312E-001                  9.6330129282170884E-002                  5.9268461848897273E-011                  3.0321042102419629E+000 
                                      23                  1.6449999998379670E+000                  3.6878784376747631E-001                  3.9893636667735608E+000                 -7.6265034801365754E+000                  4.2193195099235208E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999990149979E-001                  9.3667747574874935E-002                  5.9268461848007498E-011                  3.4501393721449003E+000 
                                      24                  1.6449999998313405E+000                  3.6878336767366410E-001                  3.9957877832017408E+000                 -7.6308269656130667E+000                  4.2278054916388763E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999989747146E-001                  9.1588334585430350E-002                  5.9268461847209566E-011                  3.9059638789646587E+000 
                                      25                  1.6449999998247138E+000                  3.6877884665644228E-001                  4.0015498716757367E+000                 -7.6344158578170527E+000                  4.2361291889958839E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999989344313E-001                  9.0032101873238221E-002                  5.9268461846411841E-011                  4.3486973471514716E+000 
                                      26                  1.6449999998180873E+000                  3.6877428798100320E-001                  4.0067854136712526E+000                 -7.6374473954418169E+000                  4.2442966144686167E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999988941479E-001                  8.8854472367573004E-002                  5.9268461845614309E-011                  4.7788185341463043E+000 
                                      27                  1.6449999998114606E+000                  3.6876969722791758E-001                  4.0104031398763551E+000                 -7.6393598267812841E+000                  4.2503353054925794E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999988538646E-001                  8.8165068751684436E-002                  5.9268461844029186E-011                  5.1944473416046621E+000 
                                      28                  1.6449999998081275E+000                  3.6876737769318663E-001                  4.0127275845862052E+000                 -7.6405579503960954E+000                  4.2543310398376581E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999988336008E-001                  8.7772671138813138E-002                  5.9268461842444256E-011                  5.3991300846506673E+000 
                                      29                  1.6449999998047939E+000                  3.6876505171320861E-001                  4.0160816436716207E+000                 -7.6422248179748351E+000                  4.2602567010644279E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999988133370E-001                  8.7274788815798157E-002                  5.9268461840859507E-011                  5.6026885234629500E+000 
                                      30                  1.6449999997981271E+000                  3.6876038175140058E-001                  4.0205280099561520E+000                 -7.6441757836888717E+000                  4.2685330395908654E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999987728094E-001                  8.6737341336283358E-002                  5.9268461840067327E-011                  6.0012964600360021E+000 
                                      31                  1.6449999997905969E+000                  3.6875508301357673E-001                  4.0249228906753149E+000                 -7.6458914102883577E+000                  4.2771440397818381E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999987270327E-001                  8.6335594827671627E-002                  5.9268461839366162E-011                  6.4362736785215517E+000 
                                      32                  1.6449999997830664E+000                  3.6874976310723756E-001                  4.0288797493915762E+000                 -7.6472636944076227E+000                  4.2852534345603415E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999986812560E-001                  8.6078852985642773E-002                  5.9268461838604238E-011                  6.8570554094563514E+000 
                                      33                  1.6449999997761389E+000                  3.6874485313041139E-001                  4.0345405527653071E+000                 -7.6490638299763409E+000                  4.2972496535772224E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999986391419E-001                  8.5875453840192295E-002                  5.9268461837842482E-011                  7.2338685845087287E+000 
                                      34                  1.6449999997611788E+000                  3.6873420581568661E-001                  4.0414226713656127E+000                 -7.6504938123894419E+000                  4.3128695262215748E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999985481991E-001                  8.5887875316037601E-002                  5.9268461837477670E-011                  8.0067412045142241E+000 
                                      35                  1.6449999997467206E+000                  3.6872388110821580E-001                  4.0473345096911189E+000                 -7.6512885104765171E+000                  4.3269863649857152E+000                  6.9999499979389501E-001                  2.8001500067011620E-001                  1.9989999535988789E-002                  9.9999999984603083E-001                  8.6122248757477718E-002                  5.9268461837073773E-011                  8.6974494947256566E+000 
